symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
EMP-A.TO,Empire Company Ltd,10333786100,Consumer Defensive,Grocery Stores,0.2355,38.4,0.49,521322,Toronto,TSX
TPX-B.TO,Molson Coors Canada Inc.,10190974000,Consumer Defensive,Beverages Brewers,0.353846,47.02,2.79,10477,Toronto,TSX
WSP.TO,WSP Global Inc,9962824700,Industrials,Engineering & Construction,0.9752,88.19,1.5,160712,Toronto,TSX
BTO.TO,B2Gold Corp,9491142700,Basic Materials,Gold,1.70591,9.08,0.05247,4393827,Toronto,TSX
KAT.TO,Katanga Mining Limited,9485984800,Basic Materials,Copper,0.54,0.155,0.0,130750,Toronto,TSX
CU.TO,Canadian Utilities Ltd,9355730900,Utilities,Utilities Diversified,0.57562,34.28,1.7162,451708,Toronto,TSX
CCL-B.TO,CCL Industries Inc,9291724800,Consumer Cyclical,Packaging & Containers,0.58835,52.03,0.7,260241,Toronto,TSX
RBA.TO,Ritchie Bros. Auctioneers Inc,9222919200,Industrials,Specialty Business Services,0.92715,84.75,1.02266,194985,Toronto,TSX
CTC-A.TO,Canadian Tire Corporation Ltd,9219656700,Consumer Cyclical,Specialty Retail,1.46204,147.9,4.35,327886,Toronto,TSX
IMO,Imperial Oil Ltd,9078461400,Energy,Oil & Gas Integrated,2.03332,12.42,0.88,490396,NYSE American,AMEX
NPI.TO,Northland Power Inc,9008650200,Utilities,Utilities Renewable,0.59399,44.68,1.2,555704,Toronto,TSX
XIU.TO,iShares S&amp;P/TSX 60 Index ETF,8746567700,,,0.0,24.82,0.7750000000000001,3609440,Toronto,TSX
FM.TO,First Quantum Minerals Ltd,8534858200,Basic Materials,Copper,2.45996,12.38,0.00988,2907085,Toronto,TSX
QBR-B.TO,Quebecor Inc,8349190700,Communication Services,Telecom Services,0.20113,33.26,0.625,435823,Toronto,TSX
FSV.TO,FirstService Corp,7764891100,Real Estate,Real Estate Services,1.0552,178.64,0.82599,74520,Toronto,TSX
X.TO,TMX Group Ltd,7749031400,Financial Services,Financial Data & Stock Exchanges,0.93785,137.8,2.6,91558,Toronto,TSX
IGM.TO,IGM Financial Inc,7697348100,Financial Services,Asset Management,1.69934,32.3,2.25,242987,Toronto,TSX
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,7553878500,Real Estate,REIT Residential,0.81039,44.27,1.38,408715,Toronto,TSX
YRI.TO,Yamana Gold Inc,7461045800,Basic Materials,Gold,2.01951,7.84,0.0631,3202230,Toronto,TSX
BTG,B2Gold Corp,7174753300,Basic Materials,Gold,1.70591,6.87,0.05247,7700832,NYSE American,AMEX
TIH.TO,Toromont Industries Ltd,6966615600,Industrials,Industrial Distribution,0.73954,84.86,1.12,156335,Toronto,TSX
DOO.TO,BRP Inc,6671260200,Consumer Cyclical,Recreational Vehicles,3.38711,76.3,0.2,297196,Toronto,TSX
DSG.TO,Descartes Systems Group Inc,6204615200,Technology,Software Application,1.16507,73.45,0.0,188820,Toronto,TSX
ALA-PK.TO,AltaGas Ltd.,6177951700,Utilities,Utilities Regulated Gas,0.0,22.81,1.25,7117,Toronto,TSX
CVE.TO,Cenovus Energy Inc,5935441900,Energy,Oil & Gas Integrated,3.59562,4.83,0.175,4053222,Toronto,TSX
BNC.TO,Purpose Canadian Financial Income Fund Series ETF,5792875000,,,0.0,19.15,1.0199999999999998,96,Toronto,TSX
ONEX.TO,Onex Corp,5770623000,Financial Services,Asset Management,1.26791,59.57,0.38986,263703,Toronto,TSX
EDV.TO,Endeavour Mining Corp,5752827400,Basic Materials,Gold,0.71395,35.28,0.0,512588,Toronto,TSX
GIL.TO,Gildan Activewear Inc,5746542600,Consumer Cyclical,Apparel Manufacturing,1.67672,28.99,0.55358,484095,Toronto,TSX
IVN.TO,Ivanhoe Mines Ltd,5736764900,Basic Materials,Other Industrial Metals & Mining,2.239,4.78,0.0,1192380,Toronto,TSX
LUN.TO,Lundin Mining Corp,5693457900,Basic Materials,Copper,1.70291,7.76,0.0,2173961,Toronto,TSX
XIC.TO,iShares Core S&amp;P/TSX Capped Composite Index ETF,5654980100,,,0.0,26.12,0.855,318306,Toronto,TSX
CAE.TO,CAE Inc,5643573800,Industrials,Aerospace & Defense,1.94318,21.24,0.33,642522,Toronto,TSX
IAF-PI.TO,iA Financial Corporation Inc.,5632456200,Financial Services,Insurance Diversified,0.0,19.9,0.8999999999999999,6805,Toronto,TSX
KXS.TO,Kinaxis Inc,5623324200,Technology,Software Application,1.00487,209.53,0.0,96111,Toronto,TSX
PKI.TO,Parkland Corp,5548683300,Energy,Oil & Gas Refining & Marketing,1.63048,37.22,1.1991,342488,Toronto,TSX
IPL.TO,Inter Pipeline Ltd,5498052100,Energy,Oil & Gas Midstream,2.31878,12.81,1.505,2219896,Toronto,TSX
XSP.TO,iShares Core S&amp;P 500 Index ETF (CAD-Hedged),5413720100,,,0.0,37.7,0.632,388464,Toronto,TSX
EFN.TO,Element Fleet Management Corp,5110911500,Industrials,Rental & Leasing Services,1.10511,11.67,0.18,971883,Toronto,TSX
EHE.TO,WisdomTree Europe Hedged Equity Index ETF,5055275000,,,0.0,23.81,0.475,1035,Toronto,TSX
CCA.TO,Cogeco Communications Inc,4976218100,Communication Services,Telecom Services,0.47593,103.5,2.21,124493,Toronto,TSX
IAG.TO,iA Financial Corporation Inc,4957680600,Financial Services,Insurance Diversified,1.40703,46.33,1.87,252817,Toronto,TSX
ZCH.TO,BMO China Equity Index ETF,4953761800,,,0.0,32.36,0.29,3806,Toronto,TSX
XCV.TO,iShares Canadian Value Index ETF,4889015800,,,0.0,22.03,0.9169999999999999,1130,Toronto,TSX
CCO.TO,Cameco Corp,4845155300,Energy,Uranium,0.61052,12.24,0.08,925143,Toronto,TSX
